职业技能关系主键,canonical_skill,职业小类代码,职业小类名称,关联岗位数,技能岗位总数,职业岗位总数,全样本岗位数,掌握技能后进入该职业概率,职业内技能需求占比,职业技能相对集中度,平滑后职业匹配概率,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,2026年职业内技能需求占比预测,2027年职业内技能需求占比预测,2028年职业内技能需求占比预测,职业排名
GJ0000036,QC,2-02-12,电力工程技术人员,7,54718.0,535,1741643,0.00012792865236302495,0.013084112149532711,0.416459891378497,0.00012799414710352216,QC,JN0001,质量控制（QC）,职业职能与业务活动,6.0,质量管理与持续改进,,,,62
GJ0000037,GMP,4-09-10,绿化与园艺服务人员,2,15281.0,356,1741643,0.0001308814868136902,0.0056179775280898875,0.6403056891535277,0.00013097758929668933,GMP,JN0132,药品生产质量管理规范（GMP）,方法、标准与流程,18.0,医药研发与药事管理,,,,69
GJ0000038,方案设计,6-25-04,电子设备装配调试人员,2,45067.0,152,1741643,4.4378369982470545e-05,0.013157894736842105,0.5084952462590786,4.4397397881072485e-05,方案设计,JN0044,方案设计,方法、标准与流程,11.0,嵌入式与电子硬件开发,,,,84
GJ0000039,CRA,2-06-07,商务专业人员,6,3911.0,80701,1741643,0.001534134492457172,7.434852108400144e-05,0.033108816493557534,0.0017620764794283926,CRA,JN0014,临床监查（CRA）,职业职能与业务活动,18.0,医药研发与药事管理,,,,8
GJ0000040,Nmap,6-31-06,安全生产管理人员,4,305.0,21737,1741643,0.013114754098360656,0.0001840180337673092,1.050799083228189,0.013075738077383076,Nmap,JN0607,Nmap（网络协议与运维）,工具软件与技术平台,22.0,网络运维与信息安全,,,,4
GJ0000041,配方开发,4-02-06,仓储物流服务人员,3,2080.0,59888,1741643,0.0014423076923076924,5.009350788137857e-05,0.04194471507069607,0.0017560563980869406,配方开发,JN0483,配方开发,具体专业技能,18.0,医药研发与药事管理,,,,31
GJ0000042,Kafka,2-02-18,建筑工程技术人员,4,7516.0,32576,1741643,0.0005321979776476849,0.00012278978388998034,0.028453428363956496,0.000580425099806281,Kafka,JN0165,Kafka（开发框架）,工具软件与技术平台,19.0,大数据工程与数据仓库,,,,8
GJ0000043,编程规范,2-02-06,化工工程技术人员,2,8314.0,10429,1741643,0.00024055809477988935,0.00019177294083804776,0.040173201828241516,0.00025435090941227696,编程规范,JN0120,编程规范,方法、标准与流程,7.0,网络通信与软件开发基础,,,,17
GJ0000044,Java,6-31-01,机械设备修理人员,1,48913.0,24319,1741643,2.0444462617300105e-05,4.112011184670422e-05,0.0014641619805988077,2.6143196591600668e-05,Java,JN0027,Java（编程语言）,工具软件与技术平台,3.0,Java后端开发与中间件,,,,47
GJ0000045,AI工具应用,2-06-11,证券期货基金专业人员,8,2288.0,23076,1741643,0.0034965034965034965,0.0003466805338880222,0.2638958588646576,0.003581018700452962,AI工具应用,JN0538,人工智能工具应用（AI工具应用）,具体专业技能,15.0,人工智能与数据挖掘,,,,23
GJ0000046,成本控制,6-14-02,塑料制品加工人员,1,35006.0,12,1741643,2.8566531451751127e-05,0.08333333333333333,4.146058294768516,2.8554154083126024e-05,成本控制,JN0060,成本控制,方法、标准与流程,16.0,建筑施工与工程造价,,,,89
GJ0000047,BI,1-06-01,企业负责人,3,4345.0,8555,1741643,0.0006904487917146145,0.00035067212156633545,0.14056286440072663,0.0007097916539274647,BI,JN0251,BI（数据库与数据工程）,工具软件与技术平台,19.0,大数据工程与数据仓库,,,,28
GJ0000048,市场开拓,4-02-07,邮政和快递服务人员,4,30849.0,5503,1741643,0.00012966384647800577,0.0007268762493185535,0.04103727613510692,0.0001316269786257899,市场开拓,JN0057,市场开拓,方法、标准与流程,2.0,组织协调与商业执行,,,,51
GJ0000049,HTTPS协议,2-02-34,工业（产品）设计工程技术人员,4,1493.0,10202,1741643,0.0026791694574681848,0.00039207998431680063,0.4573766645180613,0.0027211855552251646,HTTPS协议,JN0366,HTTPS协议（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,,,,21
GJ0000050,消息队列,4-07-02,商务咨询服务人员,2,4322.0,39144,1741643,0.00046274872744099955,5.109339873288371e-05,0.020589185619929614,0.000564142465821437,消息队列,JN0243,消息队列,具体专业技能,3.0,Java后端开发与中间件,,,,10
GJ0000051,GMP,6-25-03,计算机制造人员,1,15281.0,71,1741643,6.54407434068451e-05,0.014084507042253521,1.605273417877858,6.540849108449137e-05,GMP,JN0132,药品生产质量管理规范（GMP）,方法、标准与流程,18.0,医药研发与药事管理,,,,75
GJ0000052,计划统筹,4-04-02,信息通信网络维护人员,1,18567.0,34,1741643,5.385899714547315e-05,0.029411764705882353,2.7589160401598027,5.3822049600659315e-05,计划统筹,JN0796,计划统筹,非技术性能力,2.0,组织协调与商业执行,,,,83
GJ0000053,PCB设计,4-12-02,计算机和办公设备维修人员,5,20236.0,159,1741643,0.00024708440403241745,0.031446540880503145,2.7064957402027146,0.000246930581661302,PCB设计,JN0092,PCB设计（机械电子电气制造）,方法、标准与流程,11.0,嵌入式与电子硬件开发,,,,41
GJ0000054,战略思维,2-05-01,临床和口腔医师,4,6032.0,5876,1741643,0.000663129973474801,0.0006807351940095302,0.19655134043440656,0.0006720879899193454,战略思维,JN0811,战略思维,非技术性能力,2.0,组织协调与商业执行,,,,49
GJ0000055,EHS,2-03-02,农业技术指导人员,4,12884.0,3108,1741643,0.0003104625892579944,0.001287001287001287,0.17397522372685365,0.00031274724404318143,EHS,JN0198,环境、健康与安全管理（EHS）,方法、标准与流程,20.0,安全环保与职业健康,,,,55
GJ0000056,Perl,2-06-11,证券期货基金专业人员,2,3339.0,23076,1741643,0.0005989817310572028,8.667013347200555e-05,0.04520767633141185,0.0006743051981677394,Perl,JN0239,Perl（编程语言）,工具软件与技术平台,13.0,云计算、系统运维与DevOps,,,,19
GJ0000057,书面表达,2-08-02,中小学教师,1,77408.0,47,1741643,1.291856138900372e-05,0.02127659574468085,0.4787132343240129,1.2922195074813478e-05,书面表达,JN0779,书面表达,非技术性能力,1.0,表达沟通与通用办公协作,,,,133
GJ0000058,Figma,2-07-08,法律顾问,2,924.0,14564,1741643,0.0021645021645021645,0.00013732491073880802,0.2588430405994262,0.0022958097223158766,Figma,JN0596,Figma（界面与交互设计）,工具软件与技术平台,5.0,视觉设计与数字内容制作,,,,15
GJ0000059,ERP,6-14-02,塑料制品加工人员,1,44328.0,12,1741643,2.2559104854719365e-05,0.08333333333333333,3.274158921374,2.2552038444023904e-05,ERP,JN0046,企业资源计划系统（ERP）,方法、标准与流程,4.0,供应链与物流管理,,,,79
GJ0000060,Visio,2-06-12,知识产权专业人员,6,6450.0,1683,1741643,0.0009302325581395349,0.0035650623885918,0.9626458842874712,0.000930344138857652,Visio,JN0147,Visio（办公软件与通用数字工具）,方法、标准与流程,1.0,表达沟通与通用办公协作,,,,37
GJ0000061,用友ERP,2-02-07,机械工程技术人员,10,6209.0,89753,1741643,0.0016105653084232566,0.00011141688857196974,0.0312527692161622,0.0017708573550510535,用友ERP,JN0166,用友ERP（办公软件与通用数字工具）,方法、标准与流程,12.0,财务会计与税务管理,,,,18
GJ0000062,PROFINET,6-31-01,机械设备修理人员,1,954.0,24319,1741643,0.0010482180293501049,4.112011184670422e-05,0.07506976410590092,0.001313413797553178,PROFINET,JN0577,PROFINET（网络协议与运维）,工具软件与技术平台,9.0,工业自动化与电气控制,,,,16
GJ0000063,自动化测试,2-02-18,建筑工程技术人员,5,11114.0,32576,1741643,0.00044988303041209286,0.00015348722986247544,0.024052542692043485,0.00048267321287409143,自动化测试,JN0112,自动化测试,方法、标准与流程,21.0,软件测试与质量保障,,,,11
GJ0000064,金蝶ERP,6-30-05,其他运输设,1,7456.0,3480,1741643,0.00013412017167381974,0.00028735632183908046,0.06712340751566277,0.0001391067770888112,金蝶ERP,JN0182,金蝶ERP（办公软件与通用数字工具）,方法、标准与流程,12.0,财务会计与税务管理,,,,39
GJ0000065,Premiere,2-10-03,校对员,3,2929.0,31,1741643,0.0010242403550699897,0.0967741935483871,57.543904668553616,0.0010174147120035814,Premiere,JN0314,Premiere（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,,,,23
GJ0000066,测量放线,3-01-02,行政事务处理人员,2,907.0,36106,1741643,0.002205071664829107,5.5392455547554426e-05,0.10636591230122308,0.0026047680562434066,测量放线,JN0479,测量放线,具体专业技能,16.0,建筑施工与工程造价,,,,20
GJ0000067,口头表达,6-31-02,船舶、航空器修理人员,1,40985.0,7,1741643,2.439917042820544e-05,0.14285714285714285,6.070663483155859,2.4389230188206732e-05,口头表达,JN0788,口头表达,非技术性能力,1.0,表达沟通与通用办公协作,,,,111
GJ0000068,报批报建,2-02-06,化工工程技术人员,1,514.0,10429,1741643,0.0019455252918287938,9.588647041902388e-05,0.32490272373540857,0.002096929736033551,报批报建,JN0019,报批报建,职业职能与业务活动,16.0,建筑施工与工程造价,,,,28
GJ0000069,风险管理,1-04-05,基金会负责人,1,31641.0,11,1741643,3.1604563698998135e-05,0.09090909090909091,5.003987921310383,3.1588589037173214e-05,风险管理,JN0690,风险管理,专业知识与行业经验,14.0,金融风控、投资与合规,,,,79
GJ0000070,Postman,4-02-06,仓储物流服务人员,1,1834.0,59888,1741643,0.0005452562704471102,1.6697835960459526e-05,0.015856962440394005,0.0009103119935181096,Postman,JN0442,Postman（接口测试工具）,工具软件与技术平台,21.0,软件测试与质量保障,,,,9
GJ0000071,LangChain,4-01-02,销售人员,4,731.0,257023,1741643,0.005471956224350205,1.5562809554008785e-05,0.03707914954866282,0.009256325424226185,LangChain,JN0622,LangChain（大模型应用框架）,工具软件与技术平台,15.0,人工智能与数据挖掘,,,,4
GJ0000072,汽车机电维修,6-22-02,汽车整车制造人员,1,113.0,713,1741643,0.008849557522123894,0.001402524544179523,21.61678809467661,0.00758035842907457,汽车机电维修,JN0652,汽车机电维修,工具软件与技术平台,8.0,机械设计与制造,,,,9
GJ0000073,质量管理,6-12-02,中药饮片加工人员,1,85442.0,221,1741643,1.1703845883757403e-05,0.004524886877828055,0.09223493781232983,1.1730802386188663e-05,质量管理,JN0035,质量管理,方法、标准与流程,6.0,质量管理与持续改进,,,,93
GJ0000074,物流管理,4-13-02,广播、电视、电影和影视录音制作人员,1,13792.0,6320,1741643,7.250580046403712e-05,0.00015822784810126583,0.01998088921480807,7.765531051752474e-05,物流管理,JN0009,物流管理,职业职能与业务活动,4.0,供应链与物流管理,,,,53
GJ0000075,ELISA,6-12-05,生物药品制造人员,1,748.0,19,1741643,0.001336898395721925,0.05263157894736842,122.54735434843793,0.0013023674281028507,ELISA,JN0530,ELISA（医药医疗生命科学）,具体专业技能,18.0,医药研发与药事管理,,,,15
GJ0000076,新能源,2-02-31,检验检疫工程技术人员,1,35790.0,87,1741643,2.794076557697681e-05,0.011494252873563218,0.5593429745032485,2.7953059386704797e-05,新能源,JN0692,新能源,专业知识与行业经验,9.0,工业自动化与电气控制,,,,90
GJ0000077,物流调度,6-30-05,其他运输设,2,813.0,3480,1741643,0.0024600246002460025,0.0005747126436781609,1.2311737427719105,0.0024489342923360775,物流调度,JN0554,物流调度,方法、标准与流程,4.0,供应链与物流管理,,,,15
