学校,专业主键,年级,学院,专业,专业方向_路径,技能编号,标准技能名称,技能展示名称,技能一级类型,技能簇名称,技能供给原始分,证据条数,直接证据条数,语义规则证据条数,证据摘要,映射依据,专业区分度权重,技能供给区分度得分,专业内排名,是否代表性技能
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0024,Office办公软件,Office办公软件（办公套件）,工具软件与技术平台,表达沟通与通用办公协作,0.8,1,0,1,计算机应用  / Computer Application,通用计算机应用课程,2.037651588878423,1.6301212711027384,16,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0025,英语,英语,语言能力,供应链与物流管理,0.8,1,1,0,英语,课程名称直接出现唯一技能别名“英语”,1.0,0.8,23,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0041,Python,Python（编程语言）,工具软件与技术平台,云计算、系统运维与DevOps,2.3,2,2,0,Python；python,毕业要求直接出现“Python”；课程名称直接出现唯一技能别名“python”,1.5108256237659907,3.4748989346617782,5,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0072,统计分析,统计分析,方法、标准与流程,人工智能与数据挖掘,0.8,1,0,1,统计学 / Statistics,统计方法课程,1.1880522315029396,0.9504417852023517,21,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0109,会计核算,会计核算,方法、标准与流程,财务会计与税务管理,0.8,1,0,1,会计学 / Accounting,会计课程,1.2895886507223624,1.03167092057789,19,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0145,数据挖掘,数据挖掘,工具软件与技术平台,人工智能与数据挖掘,0.8,1,1,0,数据挖掘,课程名称直接出现唯一技能别名“数据挖掘”,2.4271163556401456,1.9416930845121165,14,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0172,数据建模,数据建模,工具软件与技术平台,大数据工程与数据仓库,0.8,1,0,1,金融建模 / Financial Modelling,建模课程,2.730798769438368,2.1846390155506947,13,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0335,SPSS,SPSS（办公软件与通用数字工具）,方法、标准与流程,人工智能与数据挖掘,1.5,1,1,0,SPSS,毕业要求直接出现“SPSS”,4.778491612803624,7.1677374192054355,2,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0397,数理统计,数理统计,工具软件与技术平台,人工智能与数据挖掘,0.8,1,1,0,数理统计,课程名称直接出现唯一技能别名“数理统计”,1.2019413436636068,0.9615530749308855,20,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0524,精算,精算,具体专业技能,金融风控、投资与合规,6.0,4,4,0,精算,培养目标直接出现“精算”；毕业要求直接出现“精算”；核心课程直接出现“精算”；培养特色直接出现“精算”,4.218875824868201,25.313254949209206,1,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0647,论文写作,论文写作,方法、标准与流程,表达沟通与通用办公协作,0.8,1,1,0,论文写作,课程名称直接出现唯一技能别名“论文写作”,1.4734380916943703,1.1787504733554963,18,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0690,风险管理,风险管理,专业知识与行业经验,金融风控、投资与合规,1.6,2,1,1,风险管理；金融风险分析师专题（双语）FRM（Bilingual）,课程名称直接出现唯一技能别名“风险管理”；风险管理课程,1.916290731874155,3.066065170998648,7,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0691,财务管理,财务管理,专业知识与行业经验,财务会计与税务管理,1.6,2,1,1,公司金融 / Corporate Finance；财务管理,财务管理课程；课程名称直接出现唯一技能别名“财务管理”,1.664976303593249,2.6639620857491986,9,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0755,CFA,特许金融分析师资格（CFA）,证书与资质,金融风控、投资与合规,0.8,1,1,0,cfa,课程名称直接出现唯一技能别名“cfa”,3.169053700369523,2.535242960295619,10,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0763,FRM,FRM（证书资质）,证书与资质,金融风控、投资与合规,0.8,1,1,0,frm,课程名称直接出现唯一技能别名“frm”,3.120263536200091,2.496210828960073,12,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0770,沟通能力,沟通能力,非技术性能力,组织协调与商业执行,1.5,1,1,0,沟通协调,毕业要求直接出现“沟通协调”,1.7953381214564925,2.693007182184739,8,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0773,组织协调,组织协调,非技术性能力,组织协调与商业执行,1.5,1,1,0,协调能力,毕业要求直接出现“协调能力”,2.83258146374831,4.248872195622465,3,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0779,书面表达,书面表达,非技术性能力,表达沟通与通用办公协作,0.8,1,0,1,应用写作 / Practical Writing,写作课程,1.0649195460993157,0.8519356368794526,22,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0780,诚信与职业道德,诚信与职业道德,非技术性能力,金融风控、投资与合规,1.5,1,1,0,职业道德,毕业要求直接出现“职业道德”,1.0710357731167517,1.6065536596751275,17,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0785,分析判断,分析判断,非技术性能力,组织协调与商业执行,1.5,1,1,0,分析能力,毕业要求直接出现“分析能力”,2.121734706088964,3.1826020591334463,6,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0786,管理能力,管理能力,非技术性能力,组织协调与商业执行,1.5,1,1,0,管理能力,毕业要求直接出现“管理能力”,2.730798769438368,4.096198154157552,4,是
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0790,创新能力,创新能力,非技术性能力,视觉设计与数字内容制作,1.5,1,1,0,创新能力,毕业要求直接出现“创新能力”,1.2895886507223624,1.9343829760835436,15,否
首都经济贸易大学,CUEB-2023-001,2023级,金融学院,保险学（保险精算）,保险学（保险精算）,JN0798,适应能力,适应能力,非技术性能力,组织协调与商业执行,1.0,1,1,0,适应能力,培养目标直接出现“适应能力”,2.5271998141971284,2.5271998141971284,11,否
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0024,Office办公软件,Office办公软件（办公套件）,工具软件与技术平台,表达沟通与通用办公协作,1.6,1,0,1,计算机应用 / Computer Application,通用计算机应用课程,2.037651588878423,3.260242542205477,8,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0025,英语,英语,语言能力,供应链与物流管理,1.6,1,1,0,英语,课程名称直接出现唯一技能别名“英语”,1.0,1.6,14,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0041,Python,Python（编程语言）,工具软件与技术平台,云计算、系统运维与DevOps,3.1,2,2,0,Python；python,毕业要求直接出现“Python”；课程名称直接出现唯一技能别名“python”,1.5108256237659907,4.683559433674572,5,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0072,统计分析,统计分析,方法、标准与流程,人工智能与数据挖掘,0.8,1,0,1,统计学 / statistics,统计方法课程,1.1880522315029396,0.9504417852023517,18,否
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0109,会计核算,会计核算,方法、标准与流程,财务会计与税务管理,0.8,1,0,1,会计学 / Accounting,会计课程,1.2895886507223624,1.03167092057789,17,否
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0143,机器学习,机器学习,方法、标准与流程,人工智能与数据挖掘,0.8,1,1,0,机器学习,课程名称直接出现唯一技能别名“机器学习”,2.3361445774344194,1.8689156619475356,11,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0174,人工智能技术,人工智能技术,具体专业技能,人工智能与数据挖掘,4.3,4,4,0,人工智能；ai,培养目标直接出现“人工智能”；毕业要求直接出现“人工智能”；培养特色直接出现“人工智能”；课程名称直接出现唯一技能别名“ai”,1.312755710003897,5.644849553016757,2,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0199,MATLAB,MATLAB（编程语言）,工具软件与技术平台,人工智能与数据挖掘,1.5,1,1,0,MATLAB,毕业要求直接出现“MATLAB”,4.373026504695459,6.559539757043188,1,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0397,数理统计,数理统计,工具软件与技术平台,人工智能与数据挖掘,1.6,1,1,0,数理统计,课程名称直接出现唯一技能别名“数理统计”,1.2019413436636068,1.923106149861771,10,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0413,算法建模,算法建模,方法、标准与流程,人工智能与数据挖掘,0.8,1,0,1,金融智能芯片开发与算法设计 / Financial AI IC and Algorithm Design,算法课程,3.331572629867298,2.6652581038938385,9,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0647,论文写作,论文写作,方法、标准与流程,表达沟通与通用办公协作,0.8,1,1,0,论文写作,课程名称直接出现唯一技能别名“论文写作”,1.4734380916943703,1.1787504733554963,16,否
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0690,风险管理,风险管理,专业知识与行业经验,金融风控、投资与合规,2.5,2,2,0,风险管理,毕业要求直接出现“风险管理”；培养特色直接出现“风险管理”,1.916290731874155,4.790726829685388,3,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0691,财务管理,财务管理,专业知识与行业经验,财务会计与税务管理,0.8,1,0,1,公司金融（双语）Corporate Finance （Bilingual）,财务管理课程,1.664976303593249,1.3319810428745993,15,否
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0755,CFA,特许金融分析师资格（CFA）,证书与资质,金融风控、投资与合规,1.5,1,1,0,CFA,毕业要求直接出现“CFA”,3.169053700369523,4.753580550554284,4,否
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0763,FRM,FRM（证书资质）,证书与资质,金融风控、投资与合规,1.5,1,1,0,金融风险管理师,毕业要求直接出现“金融风险管理师”,3.120263536200091,4.680395304300136,6,否
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0779,书面表达,书面表达,非技术性能力,表达沟通与通用办公协作,1.6,1,0,1,应用写作 / Practical Writing,写作课程,1.0649195460993157,1.7038712737589052,12,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0780,诚信与职业道德,诚信与职业道德,非技术性能力,金融风控、投资与合规,1.5,1,1,0,职业道德,毕业要求直接出现“职业道德”,1.0710357731167517,1.6065536596751275,13,是
首都经济贸易大学,CUEB-2023-002,2023级,金融学院,投资学,投资学,JN0784,逻辑思维,逻辑思维,非技术性能力,表达沟通与通用办公协作,1.0,1,1,0,逻辑思维,培养特色直接出现“逻辑思维”,3.456735772821304,3.456735772821304,7,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0024,Office办公软件,Office办公软件（办公套件）,工具软件与技术平台,表达沟通与通用办公协作,1.6,1,0,1,计算机应用 / Computer Application,通用计算机应用课程,2.037651588878423,3.260242542205477,6,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0025,英语,英语,语言能力,供应链与物流管理,1.6,1,1,0,英语,课程名称直接出现唯一技能别名“英语”,1.0,1.6,16,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0041,Python,Python（编程语言）,工具软件与技术平台,云计算、系统运维与DevOps,1.6,1,1,0,python,课程名称直接出现唯一技能别名“python”,1.5108256237659907,2.4173209980255854,11,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0072,统计分析,统计分析,方法、标准与流程,人工智能与数据挖掘,0.8,1,0,1,统计学 / Statistics,统计方法课程,1.1880522315029396,0.9504417852023517,21,否
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0109,会计核算,会计核算,方法、标准与流程,财务会计与税务管理,0.8,1,0,1,会计学 / Accounting,会计课程,1.2895886507223624,1.03167092057789,20,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0143,机器学习,机器学习,方法、标准与流程,人工智能与数据挖掘,0.8,1,1,0,机器学习,课程名称直接出现唯一技能别名“机器学习”,2.3361445774344194,1.8689156619475356,13,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0397,数理统计,数理统计,工具软件与技术平台,人工智能与数据挖掘,1.6,1,1,0,数理统计,课程名称直接出现唯一技能别名“数理统计”,1.2019413436636068,1.923106149861771,12,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0647,论文写作,论文写作,方法、标准与流程,表达沟通与通用办公协作,0.8,1,1,0,论文写作,课程名称直接出现唯一技能别名“论文写作”,1.4734380916943703,1.1787504733554963,19,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0690,风险管理,风险管理,专业知识与行业经验,金融风控、投资与合规,4.1,4,3,1,风险管理；金融风险分析师专题（双语） / FRM（Bilingual）,毕业要求直接出现“风险管理”；培养特色直接出现“风险管理”；课程名称直接出现唯一技能别名“风险管理”；风险管理课程,1.916290731874155,7.8567920006840355,3,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0691,财务管理,财务管理,专业知识与行业经验,财务会计与税务管理,0.8,1,0,1,公司金融（双语） / Corporate Finance （Bilingual）,财务管理课程,1.664976303593249,1.3319810428745993,18,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0755,CFA,特许金融分析师资格（CFA）,证书与资质,金融风控、投资与合规,3.3,3,3,0,CFA；cfa,毕业要求直接出现“CFA”；培养特色直接出现“CFA”；课程名称直接出现唯一技能别名“cfa”,3.169053700369523,10.457877211219426,1,否
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0763,FRM,FRM（证书资质）,证书与资质,金融风控、投资与合规,3.3,3,3,0,金融风险管理师；frm,毕业要求直接出现“金融风险管理师”；培养特色直接出现“金融风险管理师”；课程名称直接出现唯一技能别名“frm”,3.120263536200091,10.2968696694603,2,否
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0770,沟通能力,沟通能力,非技术性能力,组织协调与商业执行,1.5,1,1,0,沟通协调,毕业要求直接出现“沟通协调”,1.7953381214564925,2.693007182184739,10,否
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0771,团队合作,团队合作,非技术性能力,表达沟通与通用办公协作,1.0,1,1,0,团队合作,培养目标直接出现“团队合作”,1.4111957828171493,1.4111957828171493,17,否
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0773,组织协调,组织协调,非技术性能力,组织协调与商业执行,1.5,1,1,0,协调能力,毕业要求直接出现“协调能力”,2.83258146374831,4.248872195622465,4,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0779,书面表达,书面表达,非技术性能力,表达沟通与通用办公协作,1.6,1,0,1,应用写作 / Practical Writing,写作课程,1.0649195460993157,1.7038712737589052,14,否
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0780,诚信与职业道德,诚信与职业道德,非技术性能力,金融风控、投资与合规,1.5,1,1,0,职业道德,毕业要求直接出现“职业道德”,1.0710357731167517,1.6065536596751275,15,否
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0785,分析判断,分析判断,非技术性能力,组织协调与商业执行,1.5,1,1,0,分析能力,毕业要求直接出现“分析能力”,2.121734706088964,3.1826020591334463,8,否
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0788,口头表达,口头表达,非技术性能力,表达沟通与通用办公协作,1.5,1,1,0,口头表达,毕业要求直接出现“口头表达”,1.9021060968821986,2.853159145323298,9,否
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0790,创新能力,创新能力,非技术性能力,视觉设计与数字内容制作,2.5,2,2,0,创新能力,培养目标直接出现“创新能力”；毕业要求直接出现“创新能力”,1.2895886507223624,3.223971626805906,7,是
首都经济贸易大学,CUEB-2023-003,2023级,金融学院,金融学,金融学,JN0798,适应能力,适应能力,非技术性能力,组织协调与商业执行,1.5,1,1,0,环境适应能力,毕业要求直接出现“环境适应能力”,2.5271998141971284,3.7907997212956923,5,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0024,Office办公软件,Office办公软件（办公套件）,工具软件与技术平台,表达沟通与通用办公协作,0.8,1,0,1,计算机应用 / Computer Application,通用计算机应用课程,2.037651588878423,1.6301212711027384,15,否
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0025,英语,英语,语言能力,供应链与物流管理,4.8,3,3,0,英语,毕业要求直接出现“英语”；核心课程直接出现“英语”；课程名称直接出现唯一技能别名“英语”,1.0,4.8,6,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0041,Python,Python（编程语言）,工具软件与技术平台,云计算、系统运维与DevOps,2.3,2,2,0,Python；python,毕业要求直接出现“Python”；课程名称直接出现唯一技能别名“python”,1.5108256237659907,3.4748989346617782,8,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0058,市场分析,市场分析,方法、标准与流程,组织协调与商业执行,1.5,1,1,0,市场分析,毕业要求直接出现“市场分析”,3.7668907011251433,5.650336051687715,5,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0072,统计分析,统计分析,方法、标准与流程,人工智能与数据挖掘,0.8,1,0,1,统计学 / Statistics,统计方法课程,1.1880522315029396,0.9504417852023517,20,否
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0109,会计核算,会计核算,方法、标准与流程,财务会计与税务管理,0.8,1,0,1,会计学原理 （英语） / Accounting Principles (English),会计课程,1.2895886507223624,1.03167092057789,18,否
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0143,机器学习,机器学习,方法、标准与流程,人工智能与数据挖掘,0.8,1,1,0,机器学习,课程名称直接出现唯一技能别名“机器学习”,2.3361445774344194,1.8689156619475356,14,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0172,数据建模,数据建模,工具软件与技术平台,大数据工程与数据仓库,0.8,1,0,1,金融建模  / Financial Modelling,建模课程,2.730798769438368,2.1846390155506947,13,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0256,授课,授课,方法、标准与流程,表达沟通与通用办公协作,1.0,1,1,0,授课,培养特色直接出现“授课”,2.4759065198095778,2.4759065198095778,11,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0397,数理统计,数理统计,工具软件与技术平台,人工智能与数据挖掘,0.8,1,1,0,数理统计,课程名称直接出现唯一技能别名“数理统计”,1.2019413436636068,0.9615530749308855,19,否
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0647,论文写作,论文写作,方法、标准与流程,表达沟通与通用办公协作,0.8,1,1,0,论文写作,课程名称直接出现唯一技能别名“论文写作”,1.4734380916943703,1.1787504733554963,17,否
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0653,Stata,Stata（办公软件与通用数字工具）,方法、标准与流程,人工智能与数据挖掘,1.5,1,1,0,Stata,毕业要求直接出现“Stata”,3.8622008809294686,5.793301321394203,4,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0690,风险管理,风险管理,专业知识与行业经验,金融风控、投资与合规,4.8,3,3,0,风险管理,毕业要求直接出现“风险管理”；核心课程直接出现“风险管理”；课程名称直接出现唯一技能别名“风险管理”,1.916290731874155,9.198195512995945,2,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0691,财务管理,财务管理,专业知识与行业经验,财务会计与税务管理,1.6,2,0,2,公司金融（英语）  / Corporate Finance (English)；跨国公司金融（双语） / Multinational Finance(Bilingual),财务管理课程,1.664976303593249,2.6639620857491986,10,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0755,CFA,特许金融分析师资格（CFA）,证书与资质,金融风控、投资与合规,2.3,2,2,0,CFA；cfa,毕业要求直接出现“CFA”；课程名称直接出现唯一技能别名“cfa”,3.169053700369523,7.288823510849903,3,否
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0763,FRM,FRM（证书资质）,证书与资质,金融风控、投资与合规,3.1,3,3,0,金融风险管理师；frm,毕业要求直接出现“金融风险管理师”；课程名称直接出现唯一技能别名“frm”；课程名称直接出现唯一技能别名“金融风险管理师”,3.120263536200091,9.672816962220283,1,否
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0779,书面表达,书面表达,非技术性能力,表达沟通与通用办公协作,0.8,1,0,1,应用写作 / Applied Writing,写作课程,1.0649195460993157,0.8519356368794526,21,否
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0780,诚信与职业道德,诚信与职业道德,非技术性能力,金融风控、投资与合规,1.5,1,1,0,职业道德,毕业要求直接出现“职业道德”,1.0710357731167517,1.6065536596751275,16,否
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0781,问题解决,问题解决,非技术性能力,表达沟通与通用办公协作,1.0,1,1,0,问题解决,培养特色直接出现“问题解决”,2.314638372213455,2.314638372213455,12,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0785,分析判断,分析判断,非技术性能力,组织协调与商业执行,1.5,1,1,0,分析能力,毕业要求直接出现“分析能力”,2.121734706088964,3.1826020591334463,9,是
首都经济贸易大学,CUEB-2023-004,2023级,金融学院,金融学（国际金融英文班）,金融学（国际金融英文班）,JN0798,适应能力,适应能力,非技术性能力,组织协调与商业执行,1.5,1,1,0,适应能力,毕业要求直接出现“适应能力”,2.5271998141971284,3.7907997212956923,7,是
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0024,Office办公软件,Office办公软件（办公套件）,工具软件与技术平台,表达沟通与通用办公协作,1.6,1,0,1,计算机应用Computer Application,通用计算机应用课程,2.037651588878423,3.260242542205477,8,是
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0025,英语,英语,语言能力,供应链与物流管理,1.6,1,1,0,英语,课程名称直接出现唯一技能别名“英语”,1.0,1.6,19,是
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0041,Python,Python（编程语言）,工具软件与技术平台,云计算、系统运维与DevOps,3.1,2,2,0,Python；python,毕业要求直接出现“Python”；课程名称直接出现唯一技能别名“python”,1.5108256237659907,4.683559433674572,2,是
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0072,统计分析,统计分析,方法、标准与流程,人工智能与数据挖掘,0.8,1,0,1,统计学 / statistics,统计方法课程,1.1880522315029396,0.9504417852023517,23,否
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0076,数据处理,数据处理,具体专业技能,大数据工程与数据仓库,1.5,1,1,0,数据处理,毕业要求直接出现“数据处理”,2.5812670354674037,3.8719005532011055,6,是
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0109,会计核算,会计核算,方法、标准与流程,财务会计与税务管理,0.8,1,0,1,会计学 / Accounting,会计课程,1.2895886507223624,1.03167092057789,22,否
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0143,机器学习,机器学习,方法、标准与流程,人工智能与数据挖掘,0.8,1,1,0,机器学习,课程名称直接出现唯一技能别名“机器学习”,2.3361445774344194,1.8689156619475356,16,是
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0172,数据建模,数据建模,工具软件与技术平台,大数据工程与数据仓库,0.8,1,0,1,金融建模 / Financial modeling,建模课程,2.730798769438368,2.1846390155506947,13,是
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0397,数理统计,数理统计,工具软件与技术平台,人工智能与数据挖掘,1.6,1,1,0,数理统计,课程名称直接出现唯一技能别名“数理统计”,1.2019413436636068,1.923106149861771,15,是
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0647,论文写作,论文写作,方法、标准与流程,表达沟通与通用办公协作,0.8,1,1,0,论文写作,课程名称直接出现唯一技能别名“论文写作”,1.4734380916943703,1.1787504733554963,21,否
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0690,风险管理,风险管理,专业知识与行业经验,金融风控、投资与合规,3.6,4,2,2,风险管理；金融风险测度与管理（双语）Financial Risk Measurement and Management（Bilingual）；金融风险分析师专题（双语）FRM（Bilingual）,培养目标直接出现“风险管理”；培养特色直接出现“风险管理”；风险管理课程,1.916290731874155,6.898646634746958,1,是
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0691,财务管理,财务管理,专业知识与行业经验,财务会计与税务管理,0.8,1,0,1,公司金融（双语）Corporate Finance （Bilingual）,财务管理课程,1.664976303593249,1.3319810428745993,20,是
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0755,CFA,特许金融分析师资格（CFA）,证书与资质,金融风控、投资与合规,0.8,1,1,0,cfa,课程名称直接出现唯一技能别名“cfa”,3.169053700369523,2.535242960295619,11,否
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0763,FRM,FRM（证书资质）,证书与资质,金融风控、投资与合规,0.8,1,1,0,frm,课程名称直接出现唯一技能别名“frm”,3.120263536200091,2.496210828960073,12,否
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0770,沟通能力,沟通能力,非技术性能力,组织协调与商业执行,1.5,1,1,0,沟通协调,毕业要求直接出现“沟通协调”,1.7953381214564925,2.693007182184739,10,否
首都经济贸易大学,CUEB-2023-005,2023级,金融学院,金融工程,金融工程,JN0773,组织协调,组织协调,非技术性能力,组织协调与商业执行,1.5,1,1,0,协调能力,毕业要求直接出现“协调能力”,2.83258146374831,4.248872195622465,4,是
