城市技能关系主键,canonical_skill,城市,预测年份,城市内技能需求占比预测,预测下限90%,预测上限90%,预测模型,趋势模型平均权重,标准技能名称,技能编号,技能展示名称,技能一级类型,技能簇编号,技能簇名称,每万岗位需求数预测,城市排名
CS0000024,3ds Max,成都,2028,0.0004965101421714,4.587394624949999e-05,0.0040777674516968,trend_seasonal+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,4.965101421714,12
CS0000025,3ds Max,杭州,2026,0.002277805441477,9.690169258726172e-05,0.0067443664048889,seasonal_3y+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,22.778054414769997,2
CS0000026,3ds Max,杭州,2027,0.0023805030592816,0.0001179901140555,0.0068470640226936,seasonal_3y+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,23.805030592816,1
CS0000027,3ds Max,杭州,2028,0.0024832006770862,0.0001390785355238,0.0069497616404982,seasonal_3y+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,24.832006770862,1
CS0000028,3ds Max,武汉,2026,0.0011605498231247,7.487145176970197e-05,0.0048422290094961,trend_seasonal+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,11.605498231247,6
CS0000029,3ds Max,武汉,2027,0.0009086432710482,7.205556640882219e-05,0.0045903224574196,trend_seasonal+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,9.086432710482,7
CS0000030,3ds Max,武汉,2028,0.0006679249837243,3.8628191789622585e-05,0.0043496041700957,trend_seasonal+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,6.679249837243,8
CS0000031,3ds Max,深圳,2026,0.0018526053505793,6.097478353951837e-06,0.0071853089867016,seasonal_3y+留出校准组合,0.747142857142857,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,18.526053505793,4
CS0000032,3ds Max,深圳,2027,0.0019616431712343,3.283257575204829e-06,0.0072943468073566,seasonal_3y+留出校准组合,0.85,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,19.616431712343,4
CS0000033,3ds Max,深圳,2028,0.0020706809918893,4.690367964578378e-07,0.0074033846280115,seasonal_3y+留出校准组合,0.9528571428571428,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,20.706809918893,3
