技能组合编号,技能组合名称,组合层级,技能一名称,技能二名称,历史共现相似度,技能簇一,技能簇二,标准技能名称_技能一,技能编号_技能一,技能展示名称_技能一,技能一级类型_技能一,技能簇编号_技能一,技能簇名称_技能一,标准技能名称_技能二,技能编号_技能二,技能展示名称_技能二,技能一级类型_技能二,技能簇编号_技能二,技能簇名称_技能二,组合键,pair_jobs_x,pair_jobs_early,pair_jobs_late,pair_jobs_recent,NPMI_2016_2025,NPMI_2016_2020,NPMI_2021_2025,NPMI_2022_2025,跨期NPMI均为正,NPMI排名,工资互补效应_all_%,工资互补效应下限95_all_%,工资互补效应上限95_all_%,工资互补p值_all,工资互补BH调整p值_all,工资支持职业数_all,工资互补效应_recent_%,工资互补效应下限95_recent_%,工资互补效应上限95_recent_%,工资互补p值_recent,工资互补BH调整p值_recent,工资支持职业数_recent,pair_jobs_y,2025组合需求率,组合需求率_2028,组合需求率下限90_2028,组合需求率上限90_2028,2025_2028每万岗位需求变化,近期工资方向一致,工资证据权重,NPMI得分,工资得分,需求得分,互补证据等级,skill_type,cluster_id,cluster_name,original_type,skill_jobs,pair_jobs,recent_pair_jobs,active_months,AI共现提升度,AI共现强度_NPMI,历史AI协同占比,ai_given_skill_coef,ai_given_skill_se,ai_given_skill_p,ai_given_skill_low,ai_given_skill_high,ai_given_skill_occupations,ai_given_skill_weight,skill_given_ai_coef,skill_given_ai_se,skill_given_ai_p,skill_given_ai_low,skill_given_ai_high,skill_given_ai_occupations,skill_given_ai_weight,strict_complement_coef,strict_complement_se,strict_complement_p,strict_complement_low,strict_complement_high,strict_complement_occupations,strict_complement_weight,ai_given_skill_pct,ai_given_skill_low_pct,ai_given_skill_high_pct,ai_given_skill_bh_p,skill_given_ai_pct,skill_given_ai_low_pct,skill_given_ai_high_pct,skill_given_ai_bh_p,strict_complement_pct,strict_complement_low_pct,strict_complement_high_pct,strict_complement_bh_p,recent_ai_given_skill_coef,recent_ai_given_skill_se,recent_ai_given_skill_p,recent_ai_given_skill_low,recent_ai_given_skill_high,recent_ai_given_skill_occupations,recent_ai_given_skill_weight,recent_skill_given_ai_coef,recent_skill_given_ai_se,recent_skill_given_ai_p,recent_skill_given_ai_low,recent_skill_given_ai_high,recent_skill_given_ai_occupations,recent_skill_given_ai_weight,recent_strict_complement_coef,recent_strict_complement_se,recent_strict_complement_p,recent_strict_complement_low,recent_strict_complement_high,recent_strict_complement_occupations,recent_strict_complement_weight,recent_ai_given_skill_pct,recent_ai_given_skill_low_pct,recent_ai_given_skill_high_pct,recent_ai_given_skill_bh_p,recent_skill_given_ai_pct,recent_skill_given_ai_low_pct,recent_skill_given_ai_high_pct,recent_skill_given_ai_bh_p,recent_strict_complement_pct,recent_strict_complement_low_pct,recent_strict_complement_high_pct,recent_strict_complement_bh_p,2025_AI技能组合需求_每万岗位,2025_技能岗位中AI协同占比,2025_AI组合月薪中位数,2025_非AI组合月薪中位数,2025_AI组合城市覆盖率,2028_AI技能组合需求_每万岗位,2025_2028组合需求变化_每万岗位,2028_技能岗位中AI协同占比,AI协同占比变化_百分点,2028_AI组合月薪中位数,2028_非AI组合月薪中位数,2028_AI组合工资优势_%,2025_2028_AI组合工资变化_%,2028_AI组合城市覆盖率,城市覆盖率变化_百分点,AI协同优势类型,证据等级,AI组合未来市场前景,技能显示名称,技能一编号_技能一,cluster_a,cluster_a_nature,cluster_b,cluster_b_nature,cluster_a_1,cluster_b_1,2022_2025组合岗位数,2025组合岗位数,当前月薪中位数,平均最低经验年限,本科及以上岗位占比,覆盖职业小类数,覆盖城市数,有效职业广度,主要职业小类_TOP5,主要城市_TOP5,pair_n,n_a,n_b,标准化共现强度_NPMI,组合类型,工资互补对数系数,工资互补对数系数标准误,互补效应p值,工资互补对数系数下限95,工资互补对数系数上限95,工资共同支持职业数,工资互补估计权重,工资互补效应_%,互补效应下限95_%,互补效应上限95_%,互补效应BH调整p值,total_jobs_2025,2028组合需求率预测,2028组合需求率预测下限90,2028组合需求率预测上限90,2025_2028需求增长_%,status,需求预测模型,需求预测回测WMAE,total_hits
ZH00001,3ds Max+Maya,标准技能组合,3ds Max,Maya,0.955625629768756,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,Maya,JN0340,Maya（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3ds Max||Maya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00012,8D+SPC,标准技能组合,8D,SPC,0.9899759616357326,6.0,6.0,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,SPC,JN0187,统计过程控制（SPC）,方法、标准与流程,6.0,质量管理与持续改进,8D||SPC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00013,8D+PPAP,标准技能组合,8D,PPAP,0.9792644372855659,6.0,6.0,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,PPAP,JN0226,生产件批准程序（PPAP）,方法、标准与流程,6.0,质量管理与持续改进,8D||PPAP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00014,8D+IATF 16949,标准技能组合,8D,IATF 16949,0.9753334847233259,6.0,6.0,8D,JN0191,8D问题解决法（8D）,方法、标准与流程,6.0,质量管理与持续改进,IATF 16949,JN0178,汽车行业质量管理体系标准（IATF 16949）,方法、标准与流程,6.0,质量管理与持续改进,8D||IATF 16949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00015,ABB机器人+三菱PLC,标准技能组合,ABB机器人,三菱PLC,0.8798100780475271,9.0,9.0,ABB机器人,JN0637,ABB机器人（工业自动化与制造系统）,具体专业技能,9.0,工业自动化与电气控制,三菱PLC,JN0578,三菱PLC（机械电子电气制造）,方法、标准与流程,9.0,工业自动化与电气控制,ABB机器人||三菱PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00016,ABB机器人+西门子PLC,标准技能组合,ABB机器人,西门子PLC,0.8438070464195561,9.0,9.0,ABB机器人,JN0637,ABB机器人（工业自动化与制造系统）,具体专业技能,9.0,工业自动化与电气控制,西门子PLC,JN0496,西门子PLC（机械电子电气制造）,方法、标准与流程,9.0,工业自动化与电气控制,ABB机器人||西门子PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00017,ABB机器人+KUKA机器人,标准技能组合,ABB机器人,KUKA机器人,0.8243786067657056,9.0,9.0,ABB机器人,JN0637,ABB机器人（工业自动化与制造系统）,具体专业技能,9.0,工业自动化与电气控制,KUKA机器人,JN0566,KUKA机器人（工业自动化与制造系统）,具体专业技能,9.0,工业自动化与电气控制,ABB机器人||KUKA机器人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00018,ABB机器人+FANUC机器人,标准技能组合,ABB机器人,FANUC机器人,0.8058226461071123,9.0,9.0,ABB机器人,JN0637,ABB机器人（工业自动化与制造系统）,具体专业技能,9.0,工业自动化与电气控制,FANUC机器人,JN0500,FANUC机器人（工业自动化与制造系统）,具体专业技能,9.0,工业自动化与电气控制,ABB机器人||FANUC机器人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00019,ABB机器人+PLC,标准技能组合,ABB机器人,PLC,0.7032285407757205,9.0,9.0,ABB机器人,JN0637,ABB机器人（工业自动化与制造系统）,具体专业技能,9.0,工业自动化与电气控制,PLC,JN0094,可编程逻辑控制器（PLC）,方法、标准与流程,9.0,工业自动化与电气控制,ABB机器人||PLC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00020,ACCA+CPA,标准技能组合,ACCA,CPA,0.9835221389284162,12.0,12.0,ACCA,JN0762,ACCA（财会金融证书）,证书与资质,12.0,财务会计与税务管理,CPA,JN0743,注册会计师资格（CPA）,证书与资质,12.0,财务会计与税务管理,ACCA||CPA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH00021,ACCA+内部控制,标准技能组合,ACCA,内部控制,0.9305833904185209,12.0,12.0,ACCA,JN0762,ACCA（财会金融证书）,证书与资质,12.0,财务会计与税务管理,内部控制,JN0700,内部控制,专业知识与行业经验,12.0,财务会计与税务管理,ACCA||内部控制,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
