技能组合编号,技能组合名称,组合层级,技能一名称,技能二名称,历史共现相似度,技能簇一,技能簇二,标准技能名称_技能一,技能编号_技能一,技能展示名称_技能一,技能一级类型_技能一,技能簇编号_技能一,技能簇名称_技能一,标准技能名称_技能二,技能编号_技能二,技能展示名称_技能二,技能一级类型_技能二,技能簇编号_技能二,技能簇名称_技能二,组合键,pair_jobs_x,pair_jobs_early,pair_jobs_late,pair_jobs_recent,NPMI_2016_2025,NPMI_2016_2020,NPMI_2021_2025,NPMI_2022_2025,跨期NPMI均为正,NPMI排名,工资互补效应_all_%,工资互补效应下限95_all_%,工资互补效应上限95_all_%,工资互补p值_all,工资互补BH调整p值_all,工资支持职业数_all,工资互补效应_recent_%,工资互补效应下限95_recent_%,工资互补效应上限95_recent_%,工资互补p值_recent,工资互补BH调整p值_recent,工资支持职业数_recent,pair_jobs_y,2025组合需求率,组合需求率_2028,组合需求率下限90_2028,组合需求率上限90_2028,2025_2028每万岗位需求变化,近期工资方向一致,工资证据权重,NPMI得分,工资得分,需求得分,互补证据等级,skill_type,cluster_id,cluster_name,original_type,skill_jobs,pair_jobs,recent_pair_jobs,active_months,AI共现提升度,AI共现强度_NPMI,历史AI协同占比,ai_given_skill_coef,ai_given_skill_se,ai_given_skill_p,ai_given_skill_low,ai_given_skill_high,ai_given_skill_occupations,ai_given_skill_weight,skill_given_ai_coef,skill_given_ai_se,skill_given_ai_p,skill_given_ai_low,skill_given_ai_high,skill_given_ai_occupations,skill_given_ai_weight,strict_complement_coef,strict_complement_se,strict_complement_p,strict_complement_low,strict_complement_high,strict_complement_occupations,strict_complement_weight,ai_given_skill_pct,ai_given_skill_low_pct,ai_given_skill_high_pct,ai_given_skill_bh_p,skill_given_ai_pct,skill_given_ai_low_pct,skill_given_ai_high_pct,skill_given_ai_bh_p,strict_complement_pct,strict_complement_low_pct,strict_complement_high_pct,strict_complement_bh_p,recent_ai_given_skill_coef,recent_ai_given_skill_se,recent_ai_given_skill_p,recent_ai_given_skill_low,recent_ai_given_skill_high,recent_ai_given_skill_occupations,recent_ai_given_skill_weight,recent_skill_given_ai_coef,recent_skill_given_ai_se,recent_skill_given_ai_p,recent_skill_given_ai_low,recent_skill_given_ai_high,recent_skill_given_ai_occupations,recent_skill_given_ai_weight,recent_strict_complement_coef,recent_strict_complement_se,recent_strict_complement_p,recent_strict_complement_low,recent_strict_complement_high,recent_strict_complement_occupations,recent_strict_complement_weight,recent_ai_given_skill_pct,recent_ai_given_skill_low_pct,recent_ai_given_skill_high_pct,recent_ai_given_skill_bh_p,recent_skill_given_ai_pct,recent_skill_given_ai_low_pct,recent_skill_given_ai_high_pct,recent_skill_given_ai_bh_p,recent_strict_complement_pct,recent_strict_complement_low_pct,recent_strict_complement_high_pct,recent_strict_complement_bh_p,2025_AI技能组合需求_每万岗位,2025_技能岗位中AI协同占比,2025_AI组合月薪中位数,2025_非AI组合月薪中位数,2025_AI组合城市覆盖率,2028_AI技能组合需求_每万岗位,2025_2028组合需求变化_每万岗位,2028_技能岗位中AI协同占比,AI协同占比变化_百分点,2028_AI组合月薪中位数,2028_非AI组合月薪中位数,2028_AI组合工资优势_%,2025_2028_AI组合工资变化_%,2028_AI组合城市覆盖率,城市覆盖率变化_百分点,AI协同优势类型,证据等级,AI组合未来市场前景,技能显示名称,技能一编号_技能一,cluster_a,cluster_a_nature,cluster_b,cluster_b_nature,cluster_a_1,cluster_b_1,2022_2025组合岗位数,2025组合岗位数,当前月薪中位数,平均最低经验年限,本科及以上岗位占比,覆盖职业小类数,覆盖城市数,有效职业广度,主要职业小类_TOP5,主要城市_TOP5,pair_n,n_a,n_b,标准化共现强度_NPMI,组合类型,工资互补对数系数,工资互补对数系数标准误,互补效应p值,工资互补对数系数下限95,工资互补对数系数上限95,工资共同支持职业数,工资互补估计权重,工资互补效应_%,互补效应下限95_%,互补效应上限95_%,互补效应BH调整p值,total_jobs_2025,2028组合需求率预测,2028组合需求率预测下限90,2028组合需求率预测上限90,2025_2028需求增长_%,status,需求预测模型,需求预测回测WMAE,total_hits
ZH00001,3ds Max+Maya,标准技能组合,3ds Max,Maya,0.955625629768756,5.0,5.0,3ds Max,JN0223,3ds Max（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,Maya,JN0340,Maya（设计传媒内容）,方法、标准与流程,5.0,视觉设计与数字内容制作,3ds Max||Maya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01367,Spring MVC+iBATIS,标准技能组合,Spring MVC,iBATIS,0.9701391664802111,3.0,3.0,Spring MVC,JN0146,Spring MVC（开发框架）,工具软件与技术平台,3.0,Java后端开发与中间件,iBATIS,JN0261,iBATIS（软件开发框架与工具）,工具软件与技术平台,3.0,Java后端开发与中间件,Spring MVC||iBATIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01368,Sqoop+元数据管理,标准技能组合,Sqoop,元数据管理,0.937710198023162,19.0,19.0,Sqoop,JN0537,Sqoop（数据库与大数据平台）,工具软件与技术平台,19.0,大数据工程与数据仓库,元数据管理,JN0515,元数据管理,工具软件与技术平台,19.0,大数据工程与数据仓库,Sqoop||元数据管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01369,MapReduce+Sqoop,标准技能组合,MapReduce,Sqoop,0.9277494876778262,19.0,19.0,MapReduce,JN0408,MapReduce（数据库与大数据平台）,工具软件与技术平台,19.0,大数据工程与数据仓库,Sqoop,JN0537,Sqoop（数据库与大数据平台）,工具软件与技术平台,19.0,大数据工程与数据仓库,MapReduce||Sqoop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01370,Struts+iBATIS,标准技能组合,Struts,iBATIS,0.9869662668204506,3.0,3.0,Struts,JN0153,Struts（Java开发框架）,工具软件与技术平台,3.0,Java后端开发与中间件,iBATIS,JN0261,iBATIS（软件开发框架与工具）,工具软件与技术平台,3.0,Java后端开发与中间件,Struts||iBATIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01371,Swift+iOS开发,标准技能组合,Swift,iOS开发,0.7432302466719111,7.0,7.0,Swift,JN0435,Swift（编程语言）,工具软件与技术平台,7.0,网络通信与软件开发基础,iOS开发,JN0115,iOS开发（开发框架）,工具软件与技术平台,7.0,网络通信与软件开发基础,Swift||iOS开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01372,Android开发+Swift,标准技能组合,Android开发,Swift,0.7205559240179247,7.0,7.0,Android开发,JN0069,Android开发（开发框架）,工具软件与技术平台,7.0,网络通信与软件开发基础,Swift,JN0435,Swift（编程语言）,工具软件与技术平台,7.0,网络通信与软件开发基础,Android开发||Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01373,SQLite+Swift,标准技能组合,SQLite,Swift,0.6981387653569459,7.0,7.0,SQLite,JN0432,SQLite（数据库与大数据平台）,工具软件与技术平台,7.0,网络通信与软件开发基础,Swift,JN0435,Swift（编程语言）,工具软件与技术平台,7.0,网络通信与软件开发基础,SQLite||Swift,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01374,JavaBean+Sybase,标准技能组合,JavaBean,Sybase,0.8859579662881344,3.0,3.0,JavaBean,JN0546,JavaBean（软件开发框架与工具）,工具软件与技术平台,3.0,Java后端开发与中间件,Sybase,JN0463,Sybase（数据库与大数据平台）,工具软件与技术平台,3.0,Java后端开发与中间件,JavaBean||Sybase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01375,Sybase+WebSphere,标准技能组合,Sybase,WebSphere,0.8855515736525301,3.0,3.0,Sybase,JN0463,Sybase（数据库与大数据平台）,工具软件与技术平台,3.0,Java后端开发与中间件,WebSphere,JN0308,WebSphere（软件开发框架与工具）,工具软件与技术平台,3.0,Java后端开发与中间件,Sybase||WebSphere,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01376,Sybase+UML,标准技能组合,Sybase,UML,0.8792339570523952,3.0,3.0,Sybase,JN0463,Sybase（数据库与大数据平台）,工具软件与技术平台,3.0,Java后端开发与中间件,UML,JN0269,UML（工程设计仿真与检测软件）,工具软件与技术平台,3.0,Java后端开发与中间件,Sybase||UML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01377,JSP+Sybase,标准技能组合,JSP,Sybase,0.872019319271179,3.0,3.0,JSP,JN0183,JSP（Java Web开发）,工具软件与技术平台,3.0,Java后端开发与中间件,Sybase,JN0463,Sybase（数据库与大数据平台）,工具软件与技术平台,3.0,Java后端开发与中间件,JSP||Sybase,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01378,Sybase+WebLogic,标准技能组合,Sybase,WebLogic,0.8653822817435197,3.0,3.0,Sybase,JN0463,Sybase（数据库与大数据平台）,工具软件与技术平台,3.0,Java后端开发与中间件,WebLogic,JN0195,WebLogic（应用服务器）,工具软件与技术平台,3.0,Java后端开发与中间件,Sybase||WebLogic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01379,TCP协议+网络协议,标准技能组合,TCP协议,网络协议,0.9952845601918549,7.0,7.0,TCP协议,JN0095,TCP协议（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,网络协议,JN0693,网络协议,专业知识与行业经验,7.0,网络通信与软件开发基础,TCP协议||网络协议,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01380,TCP协议+UDP协议,标准技能组合,TCP协议,UDP协议,0.9323943667591651,7.0,7.0,TCP协议,JN0095,TCP协议（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,UDP协议,JN0354,UDP协议（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,TCP协议||UDP协议,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01381,TCP协议+操作系统,标准技能组合,TCP协议,操作系统,0.9173754573876342,7.0,7.0,TCP协议,JN0095,TCP协议（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,操作系统,JN0687,操作系统,专业知识与行业经验,7.0,网络通信与软件开发基础,TCP协议||操作系统,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01382,TCP协议+网络编程,标准技能组合,TCP协议,网络编程,0.8808765524778656,7.0,7.0,TCP协议,JN0095,TCP协议（网络协议与运维）,工具软件与技术平台,7.0,网络通信与软件开发基础,网络编程,JN0155,网络编程,工具软件与技术平台,7.0,网络通信与软件开发基础,TCP协议||网络编程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01383,TMS+WMS,标准技能组合,TMS,WMS,0.8293393514632312,4.0,4.0,TMS,JN0485,TMS（物流采购供应链）,方法、标准与流程,4.0,供应链与物流管理,WMS,JN0270,仓储管理系统（WMS）,方法、标准与流程,4.0,供应链与物流管理,TMS||WMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01384,TMS+物流管理,标准技能组合,TMS,物流管理,0.678923696898154,4.0,4.0,TMS,JN0485,TMS（物流采购供应链）,方法、标准与流程,4.0,供应链与物流管理,物流管理,JN0009,物流管理,职业职能与业务活动,4.0,供应链与物流管理,TMS||物流管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01385,TMS+库存管理,标准技能组合,TMS,库存管理,0.6772799263382988,4.0,4.0,TMS,JN0485,TMS（物流采购供应链）,方法、标准与流程,4.0,供应链与物流管理,库存管理,JN0126,库存管理,方法、标准与流程,4.0,供应链与物流管理,TMS||库存管理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01386,ERP+TMS,标准技能组合,ERP,TMS,0.6691687126736064,4.0,4.0,ERP,JN0046,企业资源计划系统（ERP）,方法、标准与流程,4.0,供应链与物流管理,TMS,JN0485,TMS（物流采购供应链）,方法、标准与流程,4.0,供应链与物流管理,ERP||TMS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01387,TPM+精益生产,标准技能组合,TPM,精益生产,0.8438311149678076,6.0,6.0,TPM,JN0344,全面生产维护（TPM）,具体专业技能,6.0,质量管理与持续改进,精益生产,JN0205,精益生产,方法、标准与流程,6.0,质量管理与持续改进,TPM||精益生产,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01388,TPM+生产流程,标准技能组合,TPM,生产流程,0.7655333810508177,6.0,6.0,TPM,JN0344,全面生产维护（TPM）,具体专业技能,6.0,质量管理与持续改进,生产流程,JN0105,生产流程,方法、标准与流程,6.0,质量管理与持续改进,TPM||生产流程,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01389,TPM+设备管理,标准技能组合,TPM,设备管理,0.7285342179498991,6.0,9.0,TPM,JN0344,全面生产维护（TPM）,具体专业技能,6.0,质量管理与持续改进,设备管理,JN0083,设备管理,方法、标准与流程,9.0,工业自动化与电气控制,TPM||设备管理,2657.0,920.0,1737.0,1355.0,0.4265684188432289,0.4188177899978254,0.4169380019937537,0.4098858731373058,True,0.9971988795518208,9.06313367029755,3.3396577943532777,15.103604752164651,0.0043287893526875,0.0486674789753573,13.0,9.47126045229967,2.7598784937460668,16.620971537491354,0.0117241133816812,0.0433188440763352,8.0,498.0,0.0008419557719618,0.0012141814176568,0.0004199048467272,0.0020166759142013,3.7222564569495367,True,1.0,0.9875,0.953125,0.525,稳健子技能互补,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01390,PDCA+TPM,标准技能组合,PDCA,TPM,0.7203542036326906,6.0,6.0,PDCA,JN0418,计划、执行、检查、处理循环（PDCA）,方法、标准与流程,6.0,质量管理与持续改进,TPM,JN0344,全面生产维护（TPM）,具体专业技能,6.0,质量管理与持续改进,PDCA||TPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01391,Tableau+数据质量,标准技能组合,Tableau,数据质量,0.8788860416149867,19.0,19.0,Tableau,JN0431,Tableau（数据库与数据工程）,工具软件与技术平台,19.0,大数据工程与数据仓库,数据质量,JN0321,数据质量,工具软件与技术平台,19.0,大数据工程与数据仓库,Tableau||数据质量,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01392,Tableau+数据建模,标准技能组合,Tableau,数据建模,0.8718869442281191,19.0,19.0,Tableau,JN0431,Tableau（数据库与数据工程）,工具软件与技术平台,19.0,大数据工程与数据仓库,数据建模,JN0172,数据建模,工具软件与技术平台,19.0,大数据工程与数据仓库,Tableau||数据建模,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01393,Tableau+报表开发,标准技能组合,Tableau,报表开发,0.8681564887737996,19.0,19.0,Tableau,JN0431,Tableau（数据库与数据工程）,工具软件与技术平台,19.0,大数据工程与数据仓库,报表开发,JN0207,报表开发,工具软件与技术平台,19.0,大数据工程与数据仓库,Tableau||报表开发,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01394,Tableau+数据仓库,标准技能组合,Tableau,数据仓库,0.8636256578110663,19.0,19.0,Tableau,JN0431,Tableau（数据库与数据工程）,工具软件与技术平台,19.0,大数据工程与数据仓库,数据仓库,JN0184,数据仓库,工具软件与技术平台,19.0,大数据工程与数据仓库,Tableau||数据仓库,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01395,TensorFlow+深度学习,标准技能组合,TensorFlow,深度学习,0.9942871259728876,15.0,15.0,TensorFlow,JN0285,TensorFlow（开发框架）,工具软件与技术平台,15.0,人工智能与数据挖掘,深度学习,JN0197,深度学习,方法、标准与流程,15.0,人工智能与数据挖掘,TensorFlow||深度学习,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01396,TensorFlow+算法建模,标准技能组合,TensorFlow,算法建模,0.9743449923143525,15.0,15.0,TensorFlow,JN0285,TensorFlow（开发框架）,工具软件与技术平台,15.0,人工智能与数据挖掘,算法建模,JN0413,算法建模,方法、标准与流程,15.0,人工智能与数据挖掘,TensorFlow||算法建模,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01397,TensorFlow+自然语言处理,标准技能组合,TensorFlow,自然语言处理,0.9696084044018395,15.0,15.0,TensorFlow,JN0285,TensorFlow（开发框架）,工具软件与技术平台,15.0,人工智能与数据挖掘,自然语言处理,JN0279,自然语言处理,方法、标准与流程,15.0,人工智能与数据挖掘,TensorFlow||自然语言处理,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01398,TensorFlow+机器学习,标准技能组合,TensorFlow,机器学习,0.9638956572519309,15.0,15.0,TensorFlow,JN0285,TensorFlow（开发框架）,工具软件与技术平台,15.0,人工智能与数据挖掘,机器学习,JN0143,机器学习,方法、标准与流程,15.0,人工智能与数据挖掘,TensorFlow||机器学习,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01399,Apache Flume+TiDB,标准技能组合,Apache Flume,TiDB,0.8053248287254612,19.0,19.0,Apache Flume,JN0433,Apache Flume（数据库与大数据平台）,工具软件与技术平台,19.0,大数据工程与数据仓库,TiDB,JN0614,TiDB（数据库与大数据平台）,工具软件与技术平台,19.0,大数据工程与数据仓库,Apache Flume||TiDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZH01400,Elasticsearch+TiDB,标准技能组合,Elasticsearch,TiDB,0.7958867535807158,19.0,19.0,Elasticsearch,JN0290,Elasticsearch（数据库与数据工程）,工具软件与技术平台,19.0,大数据工程与数据仓库,TiDB,JN0614,TiDB（数据库与大数据平台）,工具软件与技术平台,19.0,大数据工程与数据仓库,Elasticsearch||TiDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
